This is data made public for the publication:,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporary reduction in daily global CO2 emissions during the COVID-19 forced confinement. (Le Quéré et al. Nature Climate Change (2020)). ,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dec 2020 Update),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Mean emissions in MtCO2/day are from the Global Carbon Project using sector allocation from the International Energy Agency; World Energy Balances 2019 @IEA,www.iea.org/statistics, Licence: www.iea.org/t&c.",,,,,,,,,,,,,,,,
CO2 emissions estimates key:,,,,,,Region key:,,,,,,,,,,,,,,,,,,,,
Field,Units,,Description,,,Code,Name,,,,,,,,,,,,,,,,,,,
REGION_ID,None,,Region ID number from analysis,,,ARE,United Arab Emirates,,,,,,,,,,,,,,,,,,,
REGION_CODE,None,,Region Code,,,ARG,Argentina,,,,,,,,,,,,,,,,,,,
REGION_NAME,None,,Region long name,,,AUS,Australia,,,,,,,,,,,,,,,,,,,
TIME_POINT,Days,,Day number since 1/1/2020,,,AUT,Austria,,,,,,,,,,,,,,,,,,,
DATE,Date,,Date,,,BEL,Belgium,,,,,,,,,,,,,,,,,,,
TOTAL_CO2_MED,MTCO2/day,,Total CO2 emissions,Median,,BGD,Bangladesh,,,,,,,,,,,,,,,,,,,
PWR_CO2_MED,MTCO2/day,,POWER. ,Median,,BGR,Bulgaria,,,,,,,,,,,,,,,,,,,
IND_CO2_MED,MTCO2/day,,INDUSTRY.,Median,,BRA,Brazil,,,,,,,,,,,,,,,,,,,
TRS_CO2_MED,MTCO2/day,,SURFACE TRANSPORT,Median,,CAN,Canada,,,,,,,,,,,,,,,,,,,
PUB_CO2_MED,MTCO2/day,,PUBLIC SECTOR,Median,,CHL,Chile,,,,,,,,,,,,,,,,,,,
RES_CO2_MED,MTCO2/day,,RESIDENTIAL,Median,,CHN,China,,,,,,,,,,,,,,,,,,,
AVI_CO2_MED,MTCO2/day,,AVIATION,Median,,COL,Colombia,,,,,,,,,,,,,,,,,,,
TOTAL_CO2_LOW,MTCO2/day,,Total CO2 emissions,Low,,CYP,Cyprus,,,,,,,,,,,,,,,,,,,
PWR_CO2_LOW,MTCO2/day,,POWER. ,Low,,CZE,Czech Republic,,,,,,,,,,,,,,,,,,,
IND_CO2_LOW,MTCO2/day,,INDUSTRY.,Low,,DEU,Germany,,,,,,,,,,,,,,,,,,,
TRS_CO2_LOW,MTCO2/day,,SURFACE TRANSPORT,Low,,DNK,Denmark,,,,,,,,,,,,,,,,,,,
PUB_CO2_LOW,MTCO2/day,,PUBLIC SECTOR,Low,,DZA,Algeria,,,,,,,,,,,,,,,,,,,
RES_CO2_LOW,MTCO2/day,,RESIDENTIAL,Low,,EGY,Egypt,,,,,,,,,,,,,,,,,,,
AVI_CO2_LOW,MTCO2/day,,AVIATION,Low,,ESP,Spain,,,,,,,,,,,,,,,,,,,
TOTAL_CO2_HIGH,MTCO2/day,,Total CO2 emissions,High,,EST,Estonia,,,,,,,,,,,,,,,,,,,
PWR_CO2_HIGH,MTCO2/day,,POWER. ,High,,EU27,EU27,,,,,,,,,,,,,,,,,,,
IND_CO2_HIGH,MTCO2/day,,INDUSTRY.,High,,FIN,Finland,,,,,,,,,,,,,,,,,,,
TRS_CO2_HIGH,MTCO2/day,,SURFACE TRANSPORT,High,,FRA,France,,,,,,,,,,,,,,,,,,,
PUB_CO2_HIGH,MTCO2/day,,PUBLIC SECTOR,High,,GBR,United Kingdom,,,,,,,,,,,,,,,,,,,
RES_CO2_HIGH,MTCO2/day,,RESIDENTIAL,High,,GRC,Greece,,,,,,,,,,,,,,,,,,,
AVI_CO2_HIGH,MTCO2/day,,AVIATION,High,,HRV,Croatia,,,,,,,,,,,,,,,,,,,
,,,,,,HUN,Hungary,,,,,,,,,,,,,,,,,,,
mean emission estiamtes key:,,,,,,IDN,Indonesia,,,,,,,,,,,,,,,,,,,
Field,Units,,Description,,,IND,India,,,,,,,,,,,,,,,,,,,
REGION_ID,None,,Region ID number from analysis,,,IRL,Ireland,,,,,,,,,,,,,,,,,,,
REGION_CODE,None,,Region Code,,,IRN,Iran,,,,,,,,,,,,,,,,,,,
REGION_NAME,None,,Region long name,,,IRQ,Iraq,,,,,,,,,,,,,,,,,,,
TOTAL_CO2,MTCO2/day,,Total,,,ISR,Israel,,,,,,,,,,,,,,,,,,,
POWER,MTCO2/day,,Power,,,ITA,Italy,,,,,,,,,,,,,,,,,,,
INDUSTRY,MTCO2/day,,Industry,,,JPN,Japan,,,,,,,,,,,,,,,,,,,
SURFACE_TRANSPORT,MTCO2/day,,Surface transport,,,KAZ,Kazakhstan,,,,,,,,,,,,,,,,,,,
PUBLIC,MTCO2/day,,Public Sector,,,KOR,South Korea,,,,,,,,,,,,,,,,,,,
RESIDENTIAL,MTCO2/day,,Residential,,,KWT,Kuwait,,,,,,,,,,,,,,,,,,,
AVIATION,MTCO2/day,,Aviation,,,LTU,Lithuania,,,,,,,,,,,,,,,,,,,
,,,,,,LUX,Luxembourg,,,,,,,,,,,,,,,,,,,
,,,,,,LVA,Latvia,,,,,,,,,,,,,,,,,,,
,,,,,,MAR,Morocco,,,,,,,,,,,,,,,,,,,
,,,,,,MEX,Mexico,,,,,,,,,,,,,,,,,,,
,,,,,,MYS,Malaysia,,,,,,,,,,,,,,,,,,,
,,,,,,NGA,Nigeria,,,,,,,,,,,,,,,,,,,
,,,,,,NLD,Netherlands,,,,,,,,,,,,,,,,,,,
,,,,,,NOR,Norway,,,,,,,,,,,,,,,,,,,
,,,,,,NZL,New Zealand,,,,,,,,,,,,,,,,,,,
,,,,,,OMN,Oman,,,,,,,,,,,,,,,,,,,
,,,,,,PAK,Pakistan,,,,,,,,,,,,,,,,,,,
,,,,,,PHL,Philippines,,,,,,,,,,,,,,,,,,,
,,,,,,POL,Poland,,,,,,,,,,,,,,,,,,,
,,,,,,PRT,Portugal,,,,,,,,,,,,,,,,,,,
,,,,,,QAT,Qatar,,,,,,,,,,,,,,,,,,,
,,,,,,ROU,Romania,,,,,,,,,,,,,,,,,,,
,,,,,,RUS,Russian Federation,,,,,,,,,,,,,,,,,,,
,,,,,,SAU,Saudi Arabia,,,,,,,,,,,,,,,,,,,
,,,,,,SVK,Slovakia,,,,,,,,,,,,,,,,,,,
,,,,,,SVN,Slovenia,,,,,,,,,,,,,,,,,,,
,,,,,,SWE,Sweden,,,,,,,,,,,,,,,,,,,
,,,,,,THA,Thailand,,,,,,,,,,,,,,,,,,,
,,,,,,TKM,Turkmenistan,,,,,,,,,,,,,,,,,,,
,,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,
,,,,,,UKR,Ukraine,,,,,,,,,,,,,,,,,,,
,,,,,,UZB,Uzbekistan,,,,,,,,,,,,,,,,,,,
,,,,,,USA,USA,,,,,,,,,,,,,,,,,,,
,,,,,,VEN,Venezuela,,,,,,,,,,,,,,,,,,,
,,,,,,VNM,Vietnam,,,,,,,,,,,,,,,,,,,
,,,,,,ZAF,South Africa,,,,,,,,,,,,,,,,,,,